City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Krasnotorka,48.682,37.5327,58.53,87,29,7.29,UA,scattered clouds,2021-06-07 04:20:37
1,Sterling,39.0062,-77.4286,80.6,79,90,4.61,US,overcast clouds,2021-06-07 04:18:00
2,Hilo,19.7297,-155.09,77.29,78,90,4.61,US,heavy intensity rain,2021-06-07 04:20:37
3,Butaritari,3.0707,172.7902,82.94,72,23,7.87,KI,light rain,2021-06-07 04:20:37
4,Wewak,-3.5534,143.6268,81.66,78,100,4.5,PG,overcast clouds,2021-06-07 04:20:38
5,Ushuaia,-54.8,-68.3,44.26,61,40,0.0,AR,scattered clouds,2021-06-07 04:20:38
6,Albany,42.6001,-73.9662,72.16,78,15,3.76,US,few clouds,2021-06-07 04:17:14
7,Rikitea,-23.1203,-134.9692,76.53,85,100,15.95,PF,light rain,2021-06-07 04:20:39
8,Atuona,-9.8,-139.0333,80.22,66,6,10.98,PF,clear sky,2021-06-07 04:20:39
9,Longyearbyen,78.2186,15.6401,35.44,80,75,2.3,SJ,broken clouds,2021-06-07 04:20:39
10,Tuktoyaktuk,69.4541,-133.0374,35.6,80,40,12.66,CA,scattered clouds,2021-06-07 04:20:40
11,Mataura,-46.1927,168.8643,49.48,76,0,2.82,NZ,clear sky,2021-06-07 04:20:40
12,Ramotswa,-24.8716,25.8699,46.02,91,0,3.65,BW,clear sky,2021-06-07 04:20:40
13,Yellowknife,62.456,-114.3525,46.92,71,75,4.0,CA,broken clouds,2021-06-07 04:20:41
14,Punta Arenas,-53.15,-70.9167,35.71,87,0,10.47,CL,clear sky,2021-06-07 04:20:41
15,Gilgit,35.9221,74.3087,82.72,18,0,2.51,PK,clear sky,2021-06-07 04:20:41
16,Hermanus,-34.4187,19.2345,54.81,48,2,11.97,ZA,clear sky,2021-06-07 04:20:42
17,Saint-Philippe,-21.3585,55.7679,71.15,83,97,17.4,RE,light rain,2021-06-07 04:20:42
18,Fortuna,40.5982,-124.1573,55.33,86,20,8.05,US,few clouds,2021-06-07 04:20:43
19,Bluffton,32.2371,-80.8604,80.62,90,40,8.59,US,scattered clouds,2021-06-07 04:20:43
20,Fujieda,34.8667,138.2667,82.87,67,75,5.75,JP,broken clouds,2021-06-07 04:20:43
21,Ponta Do Sol,32.6667,-17.1,66.83,78,12,5.39,PT,few clouds,2021-06-07 04:20:44
22,Port Alfred,-33.5906,26.891,62.11,36,0,8.59,ZA,clear sky,2021-06-07 04:20:44
23,Mahebourg,-20.4081,57.7,76.24,78,75,9.22,MU,light rain,2021-06-07 04:20:44
24,Cody,44.5263,-109.0565,66.49,42,1,0.0,US,clear sky,2021-06-07 04:20:45
25,Hithadhoo,-0.6,73.0833,83.34,72,24,12.24,MV,few clouds,2021-06-07 04:18:53
26,Ust-Kulom,61.6864,53.6902,51.69,47,98,10.22,RU,overcast clouds,2021-06-07 04:20:45
27,Bethel,41.3712,-73.414,77.29,77,20,0.0,US,few clouds,2021-06-07 04:20:45
28,Lebu,-37.6167,-73.65,47.43,82,98,7.61,CL,overcast clouds,2021-06-07 04:20:46
29,Katherine,-14.4667,132.2667,84.52,45,75,5.3,AU,broken clouds,2021-06-07 04:20:46
30,San Cristobal,7.7669,-72.225,65.71,98,100,2.82,VE,overcast clouds,2021-06-07 04:20:46
31,Joshimath,30.5667,79.5667,76.33,50,24,6.11,IN,few clouds,2021-06-07 04:20:47
