City_ID,City,Country,Date,Lat,Lng,Lng,Lng,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-06-06 23:21:28,-54.8,-68.3,-68.3,-68.3,-68.3,44.26,61,40,10.36
1,Araouane,ML,2021-06-06 23:21:08,18.9048,-3.5265,-3.5265,-3.5265,-3.5265,96.96,19,61,6.78
2,Luzhou,CN,2021-06-06 23:27:39,28.8724,105.4405,105.4405,105.4405,105.4405,75.58,76,99,3.76
3,Busselton,AU,2021-06-06 23:24:26,-33.65,115.3333,115.3333,115.3333,115.3333,46.09,78,0,7.83
4,Puerto Ayacucho,VE,2021-06-06 23:27:39,5.6639,-67.6236,-67.6236,-67.6236,-67.6236,78.44,87,81,1.25
5,Bengkulu,ID,2021-06-06 23:26:27,-3.8004,102.2655,102.2655,102.2655,102.2655,73.58,89,25,3.71
6,Vaini,TO,2021-06-06 23:24:36,-21.2,-175.2,-175.2,-175.2,-175.2,78.96,78,75,13.8
7,Rikitea,PF,2021-06-06 23:23:11,-23.1203,-134.9692,-134.9692,-134.9692,-134.9692,76.77,83,98,15.23
8,Vila Velha,BR,2021-06-06 23:26:43,-20.3297,-40.2925,-40.2925,-40.2925,-40.2925,73.35,90,0,1.01
9,Gat,IL,2021-06-06 23:27:40,31.61,34.7642,34.7642,34.7642,34.7642,68.68,74,0,1.36
10,Kavaratti,IN,2021-06-06 23:25:17,10.5669,72.642,72.642,72.642,72.642,82.08,78,100,12.5
11,Lasa,IT,2021-06-06 23:25:13,46.6166,10.7002,10.7002,10.7002,10.7002,58.62,94,99,3.27
12,Dubbo,AU,2021-06-06 23:26:17,-32.25,148.6167,148.6167,148.6167,148.6167,44.73,100,41,6.91
13,Terrak,NO,2021-06-06 23:27:41,65.087,12.3715,12.3715,12.3715,12.3715,53.47,94,100,2.68
14,Airai,TL,2021-06-06 23:24:41,-8.9266,125.4092,125.4092,125.4092,125.4092,59.95,72,47,2.55
15,Westport,US,2021-06-06 23:27:42,41.1415,-73.3579,-73.3579,-73.3579,-73.3579,91.06,55,1,1.01
16,Yabelo,ET,2021-06-06 23:27:42,4.8833,38.0833,38.0833,38.0833,38.0833,62.78,63,78,7.58
17,Nikolskoye,RU,2021-06-06 23:24:35,59.7035,30.7861,30.7861,30.7861,30.7861,58.89,83,70,3.65
18,Waipawa,NZ,2021-06-06 23:25:12,-41.4122,175.5153,175.5153,175.5153,175.5153,56.03,82,100,6.82
19,Chuy,UY,2021-06-06 23:25:36,-33.6971,-53.4616,-53.4616,-53.4616,-53.4616,50.38,79,83,5.95
20,Ponta Do Sol,PT,2021-06-06 23:25:43,32.6667,-17.1,-17.1,-17.1,-17.1,66.83,72,4,5.88
21,Buala,SB,2021-06-06 23:25:09,-8.145,159.5921,159.5921,159.5921,159.5921,84.2,72,48,8.66
22,Kodiak,US,2021-06-06 23:24:20,57.79,-152.4072,-152.4072,-152.4072,-152.4072,65.71,30,1,16.11
23,Chokurdakh,RU,2021-06-06 23:24:41,70.6333,147.9167,147.9167,147.9167,147.9167,38.88,68,99,5.77
24,Barrow,US,2021-06-06 23:24:25,71.2906,-156.7887,-156.7887,-156.7887,-156.7887,32.02,86,90,13.8
25,Jamestown,US,2021-06-06 23:20:57,42.097,-79.2353,-79.2353,-79.2353,-79.2353,83.52,47,1,6.91
26,Cayenne,GF,2021-06-06 23:24:56,4.9333,-52.3333,-52.3333,-52.3333,-52.3333,79.09,87,0,3.0
27,Manaure,CO,2021-06-06 23:27:44,11.7751,-72.4445,-72.4445,-72.4445,-72.4445,82.65,69,100,21.34
28,San Simon De La Laguna,MX,2021-06-06 23:27:44,19.3,-100.0833,-100.0833,-100.0833,-100.0833,69.24,76,100,4.34
29,Faanui,PF,2021-06-06 23:27:44,-16.4833,-151.75,-151.75,-151.75,-151.75,80.98,77,82,11.72
30,Santa Cruz Cabralia,BR,2021-06-06 23:21:22,-16.2781,-39.0247,-39.0247,-39.0247,-39.0247,75.43,83,40,5.37
31,Thinadhoo,MV,2021-06-06 23:24:30,0.5333,72.9333,72.9333,72.9333,72.9333,82.62,74,13,11.72
32,Arraial Do Cabo,BR,2021-06-06 23:24:29,-22.9661,-42.0278,-42.0278,-42.0278,-42.0278,74.01,86,100,20.47
33,Fort Nelson,CA,2021-06-06 23:27:25,58.8053,-122.7002,-122.7002,-122.7002,-122.7002,63.99,34,75,6.91
34,Takoradi,GH,2021-06-06 23:27:45,4.8845,-1.7554,-1.7554,-1.7554,-1.7554,79.43,81,10,9.66
35,Limon,CR,2021-06-06 23:27:46,10.0,-83.0333,-83.0333,-83.0333,-83.0333,84.09,74,0,8.05
36,Soyo,AO,2021-06-06 23:27:46,-6.1349,12.3689,12.3689,12.3689,12.3689,75.51,89,26,4.0
37,Albany,US,2021-06-06 23:20:55,42.6001,-73.9662,-73.9662,-73.9662,-73.9662,85.95,58,46,5.03
38,Faya,SA,2021-06-06 23:26:23,18.3851,42.4509,42.4509,42.4509,42.4509,68.52,48,6,2.75
39,Aquiraz,BR,2021-06-06 23:27:47,-3.9014,-38.3911,-38.3911,-38.3911,-38.3911,80.69,81,13,7.29
40,Kaitangata,NZ,2021-06-06 23:24:28,-46.2817,169.8464,169.8464,169.8464,169.8464,49.15,73,74,4.94
41,Riyadh,SA,2021-06-06 23:23:18,24.6877,46.7219,46.7219,46.7219,46.7219,93.34,16,0,5.75
42,Mehamn,NO,2021-06-06 23:27:47,71.0357,27.8492,27.8492,27.8492,27.8492,39.74,69,5,1.95
43,Novikovo,RU,2021-06-06 23:27:48,51.1537,37.8879,37.8879,37.8879,37.8879,53.51,94,13,4.43
44,Punta Arenas,CL,2021-06-06 23:23:08,-53.15,-70.9167,-70.9167,-70.9167,-70.9167,41.11,81,0,11.81
45,Tabou,CI,2021-06-06 23:27:48,4.423,-7.3528,-7.3528,-7.3528,-7.3528,78.53,85,100,11.63
46,Mana,GF,2021-06-06 23:27:08,5.6592,-53.7767,-53.7767,-53.7767,-53.7767,76.14,89,100,6.29
47,East London,ZA,2021-06-06 23:24:33,-33.0153,27.9116,27.9116,27.9116,27.9116,62.28,39,0,9.24
48,Vardo,NO,2021-06-06 23:25:22,70.3705,31.1107,31.1107,31.1107,31.1107,39.15,74,6,1.88
49,Karratha,AU,2021-06-06 23:27:27,-20.7377,116.8463,116.8463,116.8463,116.8463,74.23,58,76,9.55
50,Batagay,RU,2021-06-06 23:27:49,67.6333,134.6333,134.6333,134.6333,134.6333,54.03,39,85,8.55
51,Puerto Ayora,EC,2021-06-06 23:25:24,-0.7393,-90.3518,-90.3518,-90.3518,-90.3518,74.55,91,38,3.0
52,Svetlyy,RU,2021-06-06 23:27:49,54.675,20.1347,20.1347,20.1347,20.1347,51.85,72,55,5.26
53,Hirara,JP,2021-06-06 23:27:50,24.8,125.2833,125.2833,125.2833,125.2833,80.46,89,75,10.36
54,Tilichiki,RU,2021-06-06 23:26:07,60.4667,166.1,166.1,166.1,166.1,37.87,96,100,6.15
55,Magadan,RU,2021-06-06 23:27:50,59.5667,150.8,150.8,150.8,150.8,47.97,76,46,4.29
56,Khatanga,RU,2021-06-06 23:24:50,71.9667,102.5,102.5,102.5,102.5,34.41,89,97,6.98
57,Ribeira Grande,PT,2021-06-06 23:24:48,38.5167,-28.7,-28.7,-28.7,-28.7,65.16,87,100,7.65
58,Beitbridge,ZW,2021-06-06 23:27:51,-22.2167,30.0,30.0,30.0,30.0,59.65,71,53,16.37
59,Mar Del Plata,AR,2021-06-06 23:25:50,-38.0023,-57.5575,-57.5575,-57.5575,-57.5575,54.12,71,0,5.99
60,Lavrentiya,RU,2021-06-06 23:25:06,65.5833,-171.0,-171.0,-171.0,-171.0,34.79,94,100,3.24
61,Atuona,PF,2021-06-06 23:24:20,-9.8,-139.0333,-139.0333,-139.0333,-139.0333,80.19,62,61,6.73
62,Mangan,IN,2021-06-06 23:27:52,27.5167,88.5333,88.5333,88.5333,88.5333,73.47,97,100,0.96
63,Tuktoyaktuk,CA,2021-06-06 23:24:24,69.4541,-133.0374,-133.0374,-133.0374,-133.0374,35.6,75,90,13.8
64,Liyang,CN,2021-06-06 23:27:52,29.7057,118.2862,118.2862,118.2862,118.2862,71.26,77,93,0.85
65,Port Elizabeth,ZA,2021-06-06 23:24:43,-33.918,25.5701,25.5701,25.5701,25.5701,46.69,66,0,4.61
66,Upernavik,GL,2021-06-06 23:25:12,72.7868,-56.1549,-56.1549,-56.1549,-56.1549,37.78,84,66,4.56
67,Labuhan,ID,2021-06-06 23:27:53,-6.8844,112.2051,112.2051,112.2051,112.2051,77.23,87,15,6.11
68,Jibuti,DJ,2021-06-06 23:27:37,11.5,42.5,42.5,42.5,42.5,85.42,34,40,3.49
69,Kapaa,US,2021-06-06 23:24:55,22.0752,-159.319,-159.319,-159.319,-159.319,82.72,68,40,4.0
70,Geraldton,AU,2021-06-06 23:25:35,-28.7667,114.6,114.6,114.6,114.6,55.81,82,94,17.67
71,Sept-Iles,CA,2021-06-06 23:24:43,50.2001,-66.3821,-66.3821,-66.3821,-66.3821,59.52,41,75,3.44
72,Saskylakh,RU,2021-06-06 23:25:39,71.9167,114.0833,114.0833,114.0833,114.0833,39.24,56,77,4.59
73,Sambava,MG,2021-06-06 23:27:54,-14.2667,50.1667,50.1667,50.1667,50.1667,71.1,87,27,10.27
74,Kavieng,PG,2021-06-06 23:25:44,-2.5744,150.7967,150.7967,150.7967,150.7967,82.31,75,56,6.08
75,Kui Buri,TH,2021-06-06 23:27:55,12.0828,99.8543,99.8543,99.8543,99.8543,86.99,75,100,10.69
76,Cape Town,ZA,2021-06-06 23:24:13,-33.9258,18.4232,18.4232,18.4232,18.4232,71.35,25,0,13.22
77,Santa Vitoria Do Palmar,BR,2021-06-06 23:26:38,-33.5189,-53.3681,-53.3681,-53.3681,-53.3681,50.9,78,92,5.93
78,Port Alfred,ZA,2021-06-06 23:24:56,-33.5906,26.891,26.891,26.891,26.891,64.06,35,0,8.34
79,Lebu,CL,2021-06-06 23:24:31,-37.6167,-73.65,-73.65,-73.65,-73.65,48.79,79,91,4.21
80,Gull Lake,CA,2021-06-06 23:27:56,50.1001,-108.4847,-108.4847,-108.4847,-108.4847,64.76,47,83,12.37
81,Bahia De Caraquez,EC,2021-06-06 23:27:56,-0.6,-80.4167,-80.4167,-80.4167,-80.4167,75.38,81,89,10.94
82,Beira,MZ,2021-06-06 23:27:56,-19.8436,34.8389,34.8389,34.8389,34.8389,65.93,87,80,10.13
83,Imbituba,BR,2021-06-06 23:27:25,-28.24,-48.6703,-48.6703,-48.6703,-48.6703,64.29,97,100,7.78
84,Vila Franca Do Campo,PT,2021-06-06 23:25:50,37.7167,-25.4333,-25.4333,-25.4333,-25.4333,64.81,86,100,1.83
85,Ilulissat,GL,2021-06-06 23:24:59,69.2167,-51.1,-51.1,-51.1,-51.1,37.42,93,20,4.61
86,Leningradskiy,RU,2021-06-06 23:26:20,69.3833,178.4167,178.4167,178.4167,178.4167,41.85,71,17,14.47
87,Hermanus,ZA,2021-06-06 23:25:08,-34.4187,19.2345,19.2345,19.2345,19.2345,66.9,44,1,11.43
88,Yellowknife,CA,2021-06-06 23:21:01,62.456,-114.3525,-114.3525,-114.3525,-114.3525,50.56,55,75,5.99
89,Atasu,KZ,2021-06-06 23:25:29,48.6814,71.6433,71.6433,71.6433,71.6433,54.57,39,78,9.48
90,Clarence Town,AU,2021-06-06 23:27:58,-32.5833,151.7833,151.7833,151.7833,151.7833,55.98,60,44,2.91
91,Pangkalanbuun,ID,2021-06-06 23:27:58,-2.6833,111.6167,111.6167,111.6167,111.6167,73.96,98,82,2.44
92,Bredasdorp,ZA,2021-06-06 23:24:49,-34.5322,20.0403,20.0403,20.0403,20.0403,58.32,41,4,6.62
93,Narrabri,AU,2021-06-06 23:27:59,-30.3167,149.7833,149.7833,149.7833,149.7833,48.52,66,11,3.44
94,Stafford,GB,2021-06-06 23:27:59,52.8052,-2.1164,-2.1164,-2.1164,-2.1164,59.54,50,32,2.28
95,Tura,IN,2021-06-06 23:26:13,25.5198,90.2201,90.2201,90.2201,90.2201,71.94,98,82,7.47
96,Carnarvon,AU,2021-06-06 23:25:25,-24.8667,113.6333,113.6333,113.6333,113.6333,60.87,72,75,9.22
97,Koungou,YT,2021-06-06 23:28:00,-12.7336,45.2042,45.2042,45.2042,45.2042,78.51,78,0,13.8
98,Lerwick,GB,2021-06-06 23:28:00,60.1545,-1.1494,-1.1494,-1.1494,-1.1494,48.2,82,62,4.34
99,Port Keats,AU,2021-06-06 23:25:27,-14.25,129.55,129.55,129.55,129.55,69.48,38,25,7.34
100,Beringovskiy,RU,2021-06-06 23:25:48,63.05,179.3167,179.3167,179.3167,179.3167,34.68,99,100,4.63
101,Ixtapa,MX,2021-06-06 23:24:08,20.7,-105.2,-105.2,-105.2,-105.2,85.23,70,40,11.5
102,Taikang,CN,2021-06-06 23:28:01,46.8333,124.4167,124.4167,124.4167,124.4167,65.77,51,0,5.66
103,Jinchang,CN,2021-06-06 23:28:01,38.4953,102.1739,102.1739,102.1739,102.1739,64.18,44,71,9.4
104,Cherskiy,RU,2021-06-06 23:24:21,68.75,161.3,161.3,161.3,161.3,68.04,35,100,19.39
105,Grand Gaube,MU,2021-06-06 23:27:03,-20.0064,57.6608,57.6608,57.6608,57.6608,75.6,85,12,3.0
106,Cidreira,BR,2021-06-06 23:25:15,-30.1811,-50.2056,-50.2056,-50.2056,-50.2056,63.05,76,100,11.05
107,Mahebourg,MU,2021-06-06 23:25:26,-20.4081,57.7,57.7,57.7,57.7,75.49,78,40,10.36
108,Georgetown,MY,2021-06-06 23:26:08,5.4112,100.3354,100.3354,100.3354,100.3354,80.53,92,20,2.3
109,Esperance,AU,2021-06-06 23:25:57,-33.8667,121.9,121.9,121.9,121.9,55.24,61,100,27.4
110,Kahului,US,2021-06-06 23:25:51,20.8947,-156.47,-156.47,-156.47,-156.47,86.02,64,20,21.85
111,Mataura,NZ,2021-06-06 23:24:30,-46.1927,168.8643,168.8643,168.8643,168.8643,49.48,77,59,3.38
112,San Carlos,VE,2021-06-06 23:28:03,9.6612,-68.5827,-68.5827,-68.5827,-68.5827,73.45,96,100,2.17
113,Kanniyakumari,IN,2021-06-06 23:28:03,8.0833,77.5667,77.5667,77.5667,77.5667,80.15,84,95,16.08
114,Abnub,EG,2021-06-06 23:28:04,27.2696,31.1511,31.1511,31.1511,31.1511,73.62,36,18,17.94
115,Nanortalik,GL,2021-06-06 23:25:11,60.1432,-45.2371,-45.2371,-45.2371,-45.2371,44.28,74,100,13.91
116,Fasa,IR,2021-06-06 23:28:04,28.9383,53.6482,53.6482,53.6482,53.6482,85.24,14,0,9.22
117,Bethel,US,2021-06-06 23:23:37,41.3712,-73.414,-73.414,-73.414,-73.414,88.72,62,34,4.74
118,Castro,BR,2021-06-06 23:24:33,-24.7911,-50.0119,-50.0119,-50.0119,-50.0119,60.35,71,96,3.49
119,Avera,US,2021-06-06 23:25:29,33.194,-82.5271,-82.5271,-82.5271,-82.5271,80.65,96,100,3.18
120,Yorosso,ML,2021-06-06 23:28:05,12.3536,-4.7761,-4.7761,-4.7761,-4.7761,86.14,41,78,4.34
121,Victoria,HK,2021-06-06 23:20:46,22.2855,114.1577,114.1577,114.1577,114.1577,82.38,83,47,1.99
122,Severo-Kurilsk,RU,2021-06-06 23:25:31,50.6789,156.125,156.125,156.125,156.125,43.0,93,100,10.89
123,Krasnoselkup,RU,2021-06-06 23:28:06,65.7,82.4667,82.4667,82.4667,82.4667,34.88,75,39,10.33
124,Conceicao Do Araguaia,BR,2021-06-06 23:28:06,-8.2578,-49.2647,-49.2647,-49.2647,-49.2647,82.53,65,0,1.48
125,Puerto Cabezas,NI,2021-06-06 23:28:06,14.0351,-83.3888,-83.3888,-83.3888,-83.3888,82.11,78,17,10.16
126,Staraya Russa,RU,2021-06-06 23:28:07,57.9944,31.3608,31.3608,31.3608,31.3608,59.7,78,74,7.16
127,Pisco,PE,2021-06-06 23:24:43,-13.7,-76.2167,-76.2167,-76.2167,-76.2167,64.45,77,0,8.05
128,Hilo,US,2021-06-06 23:24:38,19.7297,-155.09,-155.09,-155.09,-155.09,85.28,70,40,11.5
129,Whitehorse,CA,2021-06-06 23:27:00,60.7161,-135.0538,-135.0538,-135.0538,-135.0538,52.57,71,75,11.5
130,Jeremie,HT,2021-06-06 23:28:07,18.65,-74.1167,-74.1167,-74.1167,-74.1167,81.7,76,17,1.68
131,Souillac,MU,2021-06-06 23:24:42,-20.5167,57.5167,57.5167,57.5167,57.5167,75.58,78,40,12.37
132,Ronne,DK,2021-06-06 23:28:08,55.1009,14.7066,14.7066,14.7066,14.7066,51.71,82,4,1.14
133,Tuatapere,NZ,2021-06-06 23:25:39,-46.1333,167.6833,167.6833,167.6833,167.6833,49.82,79,18,4.63
134,Qaanaaq,GL,2021-06-06 23:25:04,77.484,-69.3632,-69.3632,-69.3632,-69.3632,40.37,76,59,5.39
135,Juneau,US,2021-06-06 23:27:33,58.3019,-134.4197,-134.4197,-134.4197,-134.4197,56.84,87,75,3.0
136,Tiarei,PF,2021-06-06 23:28:09,-17.5333,-149.3333,-149.3333,-149.3333,-149.3333,86.02,74,77,11.68
